fips_code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23",CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023_x,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023_y,Unemployed_2023,Unemployment_rate_2023,BIRTHS_2023,DEATHS_2023,DOMESTIC_MIG_2023,GQ_ESTIMATES_2023,INTERNATIONAL_MIG_2023,NATURAL_CHG_2023,NET_MIG_2023,N_POP_CHG_2023,POP_ESTIMATE_2023,RESIDUAL_2023,R_BIRTH_2023,R_DEATH_2023,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2023,R_NET_MIG_2023,Rural_Urban_Continuum_Code_2023
0,,,,,32310253.0,44462605.0,58205022.0,79954302.0,11717266.0,21558480.0,34158051.0,45947035.0,47642763.0,52168981.0,57706852.0,59836489.0,52373312.0,44535197.0,39343718.0,35715625.0,29179819.0,24230217.0,10.7,16.2,10.6,15.7,24.9,27.4,28.99357875,28.1978456,30.0,28.6,28.24115535,26.19413741,24.8,19.6,14.28031114,10.60706676,20.3,24.4,28.48495476,35.00095023,31.1,34.6,47.7,33.5,11650730.0,20794975.0,39571702.0,49864428.0,59244324.0,64413653.0,15.8,11310265.0,16.5,2977590.0,15.1,8036505.0,12.4,40485829.0,77533.0,16.2,11580263.0,17.1,3078348.0,15.5,8241583.0,12.6,41040257.0,77905.0,77719.0,16.0,16.8,15.3,12.5,11445264.0,3027969.0,8139044.0,40763043.0,,166689556.0,160623678.0,,,6065878.0,3.6,3653356.0,3148861.0,0.0,,1138989.0,504495.0,1138989.0,1643484.0,334914895.0,0.0,10.9,9.4,0.0,3.4,1.5,3.4,
1000,,,,,399228.0,549608.0,705001.0,957081.0,141936.0,270063.0,468269.0,704207.0,749591.0,877216.0,991406.0,1046374.0,1062306.0,964840.0,843638.0,714081.0,551030.0,409381.0,7.8,12.2,7.5,12.5,21.7,25.9,29.02286617,30.02828639,29.4,30.4,31.30995723,30.34461599,33.1,24.7,17.40228093,11.87195901,15.7,19.0,22.26489567,27.75513862,25.9,31.8,58.7,43.5,136287.0,278205.0,553512.0,746495.0,918987.0,1035466.0,20.5,226963.0,21.6,61943.0,19.2,157700.0,15.3,762230.0,61546.0,22.1,245677.0,24.8,70971.0,21.2,174262.0,16.1,797856.0,62950.0,62248.0,21.3,23.2,20.2,15.7,236320.0,66457.0,165981.0,780043.0,,2308131.0,2250472.0,,,57659.0,2.5,58251.0,59813.0,30744.0,144014.0,5384.0,-1562.0,36128.0,34565.0,5108468.0,-1.0,11.4,11.7,6.0,1.1,-0.3,7.1,
1001,2.0,2.0,2.0,4.0,3026.0,4972.0,7629.0,11530.0,767.0,2117.0,3757.0,6145.0,6671.0,9332.0,11874.0,13321.0,6611.0,7074.0,6252.0,5872.0,5232.0,3963.0,6.4,12.1,7.7,12.1,23.5,26.9,29.6181425,29.32028356,32.0,33.8,33.78670612,32.67593887,30.0,21.3,14.88732074,9.721097947,14.5,18.0,21.70783064,28.28267962,31.1,35.2,54.8,40.6,933.0,2104.0,4912.0,7413.0,10409.0,11953.0,12.7,1759.0,,,12.2,1254.0,9.3,5599.0,62667.0,21.3,2967.0,,,21.2,2190.0,14.1,8409.0,75047.0,68857.0,17.0,,16.7,11.7,2363.0,,1722.0,7004.0,2.0,27000.0,26409.0,1.0,2.0,591.0,2.2,714.0,621.0,491.0,484.0,34.0,93.0,525.0,616.0,60342.0,-2.0,11.9,10.3,8.2,0.6,1.5,8.7,2.0
1003,3.0,2.0,3.0,4.0,10870.0,22146.0,35307.0,56408.0,2038.0,5498.0,8426.0,15380.0,20544.0,28428.0,36675.0,47369.0,18726.0,18125.0,17309.0,17258.0,14792.0,14221.0,6.5,12.1,7.4,14.5,24.6,29.3,31.81950326,31.391725,31.8,29.6,28.81646251,27.54203782,26.8,18.0,11.62244345,8.268600135,16.8,23.1,27.74159078,32.79763704,26.7,33.7,59.4,39.7,2334.0,6602.0,15900.0,28178.0,40497.0,53990.0,11.1,5752.0,,,9.9,3889.0,8.4,20972.0,69046.0,17.1,8916.0,,,16.1,6321.0,11.6,28912.0,79450.0,74248.0,14.1,,13.0,10.0,7334.0,,5105.0,24942.0,3.0,104409.0,102029.0,1.0,3.0,2380.0,2.3,2531.0,2640.0,6804.0,3493.0,291.0,-109.0,7095.0,6976.0,253507.0,-10.0,10.1,10.6,27.2,1.2,-0.4,28.4,3.0
1005,6.0,6.0,6.0,5.0,1857.0,2068.0,2757.0,2021.0,861.0,1300.0,2242.0,3671.0,4258.0,6124.0,6320.0,6629.0,8120.0,7759.0,6965.0,6679.0,5013.0,3911.0,7.3,9.2,4.9,9.7,16.7,21.3,25.7717838,28.74404357,27.1,32.4,33.29470024,37.60494668,44.4,35.3,26.4092298,22.18629453,11.8,10.9,14.52428617,11.46471523,19.0,26.1,68.8,55.1,581.0,1362.0,2622.0,4025.0,4892.0,5067.0,23.8,1187.0,,,22.0,813.0,19.5,4266.0,40531.0,45.8,2289.0,,,44.4,1639.0,31.5,6904.0,50065.0,45298.0,34.8,,33.2,25.5,1738.0,,1226.0,5585.0,6.0,7944.0,7592.0,0.0,6.0,352.0,4.4,267.0,350.0,-45.0,2702.0,13.0,-83.0,-32.0,-115.0,24585.0,0.0,10.8,14.2,-1.8,0.5,-3.4,-1.3,6.0
1007,1.0,1.0,1.0,1.0,476.0,962.0,1396.0,1827.0,302.0,433.0,1402.0,2611.0,3407.0,4838.0,6457.0,6552.0,5272.0,5254.0,4850.0,4984.0,3702.0,3132.0,4.2,4.9,3.3,6.1,13.2,20.4,25.5380848,27.7446488,33.8,35.7,41.60974352,41.12736175,48.2,36.8,23.85616703,19.65978281,4.7,7.1,8.99600464,11.46820664,19.4,29.6,73.1,59.5,238.0,536.0,1332.0,2756.0,3963.0,4420.0,15.1,640.0,,,14.3,444.0,15.6,3112.0,49463.0,27.7,1180.0,,,27.5,854.0,23.2,4628.0,62587.0,56025.0,21.4,,20.9,19.4,910.0,,649.0,3870.0,1.0,8772.0,8556.0,1.0,1.0,216.0,2.5,240.0,290.0,-69.0,1894.0,1.0,-50.0,-68.0,-118.0,21868.0,0.0,10.9,13.2,-3.1,0.0,-2.3,-3.1,1.0
1009,1.0,1.0,1.0,1.0,1773.0,3235.0,4792.0,6386.0,404.0,1144.0,3440.0,7011.0,8763.0,12136.0,13994.0,14600.0,10677.0,11666.0,9960.0,9960.0,9419.0,7093.0,2.7,5.3,4.1,8.4,18.8,24.8,27.12451231,31.49959747,34.7,36.0,36.15740382,35.61757459,39.5,29.6,24.33661473,17.30379839,7.0,9.6,12.38146914,15.57902954,22.7,32.4,70.5,53.9,626.0,1819.0,4745.0,8371.0,10498.0,12912.0,12.2,1652.0,,,11.2,1124.0,10.3,6121.0,59013.0,21.0,2848.0,,,20.4,2050.0,15.3,9059.0,70911.0,64962.0,16.6,,15.8,12.8,2250.0,,1587.0,7590.0,1.0,25836.0,25282.0,1.0,1.0,554.0,2.1,698.0,776.0,358.0,616.0,24.0,-78.0,382.0,300.0,59816.0,-4.0,11.7,13.0,6.0,0.4,-1.3,6.4,1.0
1011,6.0,6.0,8.0,6.0,676.0,586.0,900.0,664.0,314.0,516.0,958.0,1324.0,1669.0,2667.0,2729.0,2994.0,4245.0,3473.0,3428.0,2992.0,2249.0,1915.0,5.4,8.8,5.2,9.8,14.2,17.5,22.40264026,24.46462456,24.8,35.2,36.02640264,40.58010301,51.0,39.5,29.68976898,25.95554351,10.0,7.7,11.88118812,8.999728924,16.5,22.5,72.9,59.0,305.0,574.0,954.0,1325.0,1697.0,1805.0,28.0,557.0,,,25.8,385.0,26.1,2162.0,31398.0,51.6,1025.0,,,50.0,747.0,41.1,3396.0,41010.0,36204.0,39.8,,37.9,33.6,791.0,,566.0,2779.0,8.0,4500.0,4393.0,0.0,8.0,107.0,2.4,102.0,133.0,-219.0,1615.0,6.0,-31.0,-213.0,-246.0,9897.0,-2.0,10.2,13.3,-21.9,0.6,-3.1,-21.3,8.0
1013,6.0,6.0,6.0,6.0,1083.0,1433.0,1812.0,1812.0,541.0,1029.0,2459.0,3635.0,3927.0,4749.0,5463.0,6182.0,8353.0,6929.0,6374.0,4439.0,3341.0,1633.0,4.6,8.2,4.2,8.1,15.6,22.9,24.6076273,26.86873291,29.1,34.5,38.79696044,46.96140991,47.2,32.2,23.72700802,12.40504406,8.0,10.4,12.86840423,13.76481313,20.7,28.8,70.5,55.0,499.0,1016.0,2106.0,3146.0,3465.0,3537.0,28.9,1171.0,,,25.7,766.0,19.2,3469.0,40192.0,45.9,1863.0,,,44.9,1342.0,28.0,5057.0,49266.0,44729.0,37.4,,35.3,23.6,1517.0,,1054.0,4263.0,6.0,9009.0,8746.0,0.0,6.0,263.0,2.9,212.0,299.0,-207.0,285.0,8.0,-87.0,-199.0,-286.0,18382.0,0.0,11.4,16.1,-11.2,0.4,-4.7,-10.7,6.0
1015,3.0,2.0,3.0,4.0,10266.0,11265.0,12544.0,16154.0,3921.0,7213.0,13804.0,21411.0,21711.0,23856.0,26224.0,27117.0,30535.0,28268.0,23633.0,19318.0,16603.0,10940.0,7.5,11.0,7.3,12.9,23.2,26.4,29.28623424,31.05294619,30.0,32.2,33.49041544,34.48815292,32.6,26.1,21.20352988,13.91379552,14.2,15.2,16.01982044,20.54510537,26.5,32.8,58.6,43.3,3823.0,8449.0,16835.0,19576.0,22932.0,24416.0,24.0,5829.0,,,19.7,3498.0,17.5,19284.0,48155.0,33.0,8017.0,,,30.3,5404.0,22.7,25064.0,55527.0,51841.0,28.5,,25.0,20.1,6923.0,,4451.0,22174.0,3.0,45540.0,44256.0,1.0,3.0,1284.0,2.8,1346.0,1649.0,923.0,5936.0,29.0,-303.0,952.0,649.0,116429.0,0.0,11.6,14.2,7.9,0.2,-2.6,8.2,3.0
